exiobase name,exiobase unit,ecoinvent name,ecoinvent category,ecoinvent subcategory,ecoinvent unit,scale factor,new flow,comment
NMVOC - non combustion - Manufacture of automobiles - air,kg,"NMVOC, non-methane volatile organic compounds",air,non-urban air or from high stacks,kg,1,0,
NMVOC - non combustion - Mutton and lamb - air,kg,"NMVOC, non-methane volatile organic compounds",air,"low population density, long-term",kg,1,0,
NMVOC - non combustion - Oil refinery - air,kg,"NMVOC, non-methane volatile organic compounds",air,non-urban air or from high stacks,kg,1,0,
NMVOC - non combustion - Organic chemical industry - downstream units - air,kg,"NMVOC, non-methane volatile organic compounds",air,non-urban air or from high stacks,kg,1,0,
"NMVOC - non combustion - Organic chemical industry, storage - air",kg,"NMVOC, non-methane volatile organic compounds",air,non-urban air or from high stacks,kg,1,0,
NMVOC - non combustion - Other industrial use of solvents - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Pharmaceutical industry - air,kg,"NMVOC, non-methane volatile organic compounds",air,non-urban air or from high stacks,kg,1,0,
NMVOC - non combustion - Polystyrene processing - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Pork - air,kg,"NMVOC, non-methane volatile organic compounds",air,"low population density, long-term",kg,1,0,
"NMVOC - non combustion - Poultry, dressed - air",kg,"NMVOC, non-methane volatile organic compounds",air,"low population density, long-term",kg,1,0,
"NMVOC - non combustion - Printing, offset - air",kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Products incorporating solvents - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Raw sugar - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Rotogravure in publication - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Screen printing - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Synthetic rubber - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Tyre production - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Vehicle refinishing - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NMVOC - non combustion - Wire coating - air,kg,"NMVOC, non-methane volatile organic compounds",air,,kg,1,0,
NOX - agriculture - air,kg,Nitrogen oxides,air,"low population density, long-term",kg,1,0,
NOx - combustion - air,kg,Nitrogen oxides,air,,kg,1,0,
NOx - non combustion - Agglomeration plant - pellets - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Agglomeration plant - sinter - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Bricks production - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Cement production - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
"NOx - non combustion - Chemical wood pulp, dissolving grades - air",kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
"NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
"NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Glass production - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Lime production - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
"NOx - non combustion - Nickel, unwrought - air",kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Oil refinery - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
"NOx - non combustion - Pig iron production, blast furnace - air",kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Production of coke oven coke - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
